2017-12-09 11:55:49,492 INFO ['.DS_Store', 'maternal.pdf', 'blockchain.pdf']
2017-12-09 11:56:25,758 INFO ['.DS_Store', 'maternal.pdf', 'blockchain.pdf']
2017-12-10 11:44:37,852 INFO ['.DS_Store', 'maternal.pdf', 'blockchain.pdf']
2017-12-10 11:46:58,657 INFO ['.DS_Store', 'maternal.pdf', 'blockchain.pdf']
2017-12-10 11:47:35,903 INFO ['.DS_Store', 'maternal.pdf', 'blockchain.pdf']
2017-12-10 12:17:32,963 INFO ['.DS_Store', 'maternal.pdf', 'blockchain.pdf']
2017-12-10 12:18:46,502 INFO ['.DS_Store', 'maternal.pdf', 'blockchain.pdf']
2017-12-10 12:18:58,425 INFO ['.DS_Store', 'maternal.pdf', 'blockchain.pdf']
2017-12-10 12:19:23,655 INFO ['.DS_Store', 'maternal.pdf', 'blockchain.pdf']
2017-12-10 12:19:41,161 INFO ['.DS_Store', 'maternal.pdf', 'blockchain.pdf']
2017-12-10 12:19:46,372 INFO ['.DS_Store', 'maternal.pdf', 'blockchain.pdf']
2017-12-10 12:20:04,311 INFO ['.DS_Store', 'maternal.pdf', 'blockchain.pdf']
